Year,clinicaltrials.gov,ANZCTR,Total AUS trials,USA trials (imported from other spreadsheet),Aus population per year,USA population per year,Australia trials per 1M,USA trials per 1M
2000,6,2,8,283,19132471,281484130,0.418137312,1.005385277
2001,3,2,5,312,19365433,284279638,0.258192006,1.097510895
2002,6,9,15,398,19595355,287084337,0.765487535,1.386352192
2003,5,8,13,500,19819454,289908099,0.655921197,1.724684484
2004,8,7,15,665,20046677,292786253,0.748253688,2.2712815
2005,32,20,52,785,20294490,295716663,2.562271828,2.654568032
2006,31,43,74,973,20590559,298730209,3.593880088,3.257119537
2007,40,32,72,1106,20954549,301844225,3.436008095,3.664141661
2008,47,24,71,1213,21370589,304970332,3.32232303,3.977436074
2009,52,29,81,1300,21783011,308023454,3.718494197,4.220457836
2010,68,36,104,1316,22141581,311062790,4.697044895,4.230657097
2011,55,35,90,1345,22479775,314105077,4.00359879,4.282006559
2012,59,32,91,1249,22852644,317115354,3.982033764,3.938629853
2013,74,51,125,1310,23236270,320110758,5.379520896,4.092333567
2014,60,46,106,1435,23595601,323115377,4.492362793,4.441138064
2015,87,56,143,1364,23948002,326126496,5.971270589,4.182426196
2016,91,63,154,1349,24329963,329179426,6.329643822,4.098068997
2017,127,75,202,1407,24731038,332204659,8.167873908,4.235340962
2018,126,92,218,1439,25119706,335056497,8.67844552,4.29479808
2019,146,95,241,1472,25482714,337790066,9.457391391,4.357736204
2020,198,83,281,1420,25743791,339436158,10.91525331,4.18340818
2021,222,73,295,1578,25956417,340161440,11.36520499,4.638973777
2022,240,69,309,1492,26200984,341534045,11.7934502,4.368524959
2023,198,87,285,1410,26451124,343477335,10.77458939,4.105074357
2024,256,109,365,1375,26713205,345426571,13.66365436,3.9805855
2025,238,80,318,1369,26974026,347275807,11.78911891,3.942111637
