Row Labels,Australia,China,Other,United States,Grand Total
2000,2,,,6,8
2001,1,,1,3,5
2002,10,,1,3,14
2003,9,,2,2,13
2004,9,1,,4,14
2005,22,,15,13,50
2006,42,,9,18,69
2007,31,1,16,22,70
2008,28,,23,18,69
2009,28,3,21,28,80
2010,38,2,29,35,104
2011,26,3,24,36,89
2012,26,2,25,37,90
2013,53,,41,30,124
2014,34,4,22,45,105
2015,50,6,28,59,143
2016,58,8,20,68,154
2017,67,12,35,88,202
2018,65,26,32,95,218
2019,60,13,62,106,241
2020,59,40,61,121,281
2021,58,41,54,142,295
2022,65,41,65,138,309
2023,55,42,61,127,285
2024,60,44,72,189,365
2025,56,38,74,150,318
